,number,prime_factors,ideal,deviation,anti_slope,family_factors,identity_factor,factor_family,color_bucket
373,15342,"[ 2, 3, 2557 ]",24.848146150569992,858.9493820501901,17.861355186473066,"[ 2, 3 ]",2557,6.0,2
374,15474,"[ 2, 3, 2579 ]",24.919205840095536,866.3064019466987,17.86204045731163,"[ 2, 3 ]",2579,6.0,2
375,15546,"[ 2, 3, 2591 ]",24.95779545782517,870.3192651526083,17.862410522733917,"[ 2, 3 ]",2591,6.0,2
376,15558,"[ 2, 3, 2593 ]",24.964215469801672,870.9880718232672,17.862471948016395,"[ 2, 3 ]",2593,6.0,2
377,15654,"[ 2, 3, 2609 ]",25.015457107809763,876.3384857026032,17.86296077987426,"[ 2, 3 ]",2609,6.0,2
378,15702,"[ 2, 3, 2617 ]",25.04099939190497,879.0136664639682,17.86320349621509,"[ 2, 3 ]",2617,6.0,2
379,15726,"[ 2, 3, 2621 ]",25.053751016969162,880.3512503389898,17.863324433224257,"[ 2, 3 ]",2621,6.0,2
380,15798,"[ 2, 3, 2633 ]",25.091928220429253,884.3639760734765,17.86368557224841,"[ 2, 3 ]",2633,6.0,2
381,15882,"[ 2, 3, 2647 ]",25.136321968376865,889.0454406561257,17.864103760859404,"[ 2, 3 ]",2647,6.0,2
382,15942,"[ 2, 3, 2657 ]",25.167936040140365,892.3893120133802,17.86440041962422,"[ 2, 3 ]",2657,6.0,2
383,15954,"[ 2, 3, 2659 ]",25.174249331773574,893.0580831105913,17.864459548287126,"[ 2, 3 ]",2659,6.0,2
384,15978,"[ 2, 3, 2663 ]",25.18686642414116,894.3956221413805,17.864577603527554,"[ 2, 3 ]",2663,6.0,2
385,16026,"[ 2, 3, 2671 ]",25.212062755985208,897.0706875853284,17.864812909156196,"[ 2, 3 ]",2671,6.0,2
386,16062,"[ 2, 3, 2677 ]",25.230927007509525,899.0769756691699,17.864988688032287,"[ 2, 3 ]",2677,6.0,2
