,number,prime_factors,mean,deviation,one_over_slope,primes_before_largest,largest_prime_factor,div_family,color_bucket
0,100,"[ 2, 2, 5, 5 ]",3.5,1.5,66.66666666666667,"[ 2, 2, 5 ]",5,20.0,5
1,102,"[ 2, 3, 17 ]",7.333333333333333,6.4444444444444455,15.82758620689655,"[ 2, 3 ]",17,6.0,3
2,104,"[ 2, 2, 2, 13 ]",4.75,4.125,25.21212121212121,"[ 2, 2, 2 ]",13,8.0,4
3,105,"[ 3, 5, 7 ]",5.0,1.3333333333333333,78.75,"[ 3, 5 ]",7,15.0,5
4,106,"[ 2, 53 ]",27.5,25.5,4.1568627450980395,[ 2 ],53,2.0,1
5,108,"[ 2, 2, 3, 3, 3 ]",2.6,0.48,225.0,"[ 2, 2, 3, 3 ]",3,36.0,5
6,110,"[ 2, 5, 11 ]",6.0,3.3333333333333335,33.0,"[ 2, 5 ]",11,10.0,4
7,111,"[ 3, 37 ]",20.0,17.0,6.529411764705882,[ 3 ],37,3.0,2
8,112,"[ 2, 2, 2, 2, 7 ]",3.0,1.6,70.0,"[ 2, 2, 2, 2 ]",7,16.0,5
9,114,"[ 2, 3, 19 ]",8.0,7.333333333333333,15.545454545454547,"[ 2, 3 ]",19,6.0,3
10,115,"[ 5, 23 ]",14.0,9.0,12.777777777777779,[ 5 ],23,5.0,3
11,116,"[ 2, 2, 29 ]",11.0,12.0,9.666666666666666,"[ 2, 2 ]",29,4.0,3
12,117,"[ 3, 3, 13 ]",6.333333333333333,4.444444444444444,26.325000000000003,"[ 3, 3 ]",13,9.0,4
13,118,"[ 2, 59 ]",30.5,28.5,4.140350877192983,[ 2 ],59,2.0,1
14,119,"[ 7, 17 ]",12.0,5.0,23.8,[ 7 ],17,7.0,4
15,120,"[ 2, 2, 2, 3, 5 ]",2.8,0.96,125.0,"[ 2, 2, 2, 3 ]",5,24.0,5
16,121,"[ 11, 11 ]",11.0,0.0,0.0,[ 11 ],11,11.0,0
17,122,"[ 2, 61 ]",31.5,29.5,4.135593220338983,[ 2 ],61,2.0,1
18,123,"[ 3, 41 ]",22.0,19.0,6.473684210526316,[ 3 ],41,3.0,2
19,124,"[ 2, 2, 31 ]",11.666666666666666,12.888888888888891,9.620689655172413,"[ 2, 2 ]",31,4.0,3
20,125,"[ 5, 5, 5 ]",5.0,0.0,0.0,"[ 5, 5 ]",5,25.0,0
21,126,"[ 2, 3, 3, 7 ]",3.75,1.625,77.53846153846153,"[ 2, 3, 3 ]",7,18.0,5
22,128,"[ 2, 2, 2, 2, 2, 2, 2 ]",2.0,0.0,0.0,"[ 2, 2, 2, 2, 2, 2 ]",2,64.0,0
23,129,"[ 3, 43 ]",23.0,20.0,6.45,[ 3 ],43,3.0,2
24,130,"[ 2, 5, 13 ]",6.666666666666667,4.222222222222222,30.789473684210524,"[ 2, 5 ]",13,10.0,4
25,132,"[ 2, 2, 3, 11 ]",4.5,3.25,40.61538461538461,"[ 2, 2, 3 ]",11,12.0,4
26,133,"[ 7, 19 ]",13.0,6.0,22.166666666666668,[ 7 ],19,7.0,4
27,134,"[ 2, 67 ]",34.5,32.5,4.123076923076923,[ 2 ],67,2.0,1
28,135,"[ 3, 3, 3, 5 ]",3.5,0.75,180.0,"[ 3, 3, 3 ]",5,27.0,5
29,136,"[ 2, 2, 2, 17 ]",5.75,5.625,24.177777777777777,"[ 2, 2, 2 ]",17,8.0,4
30,138,"[ 2, 3, 23 ]",9.333333333333334,9.111111111111112,15.146341463414632,"[ 2, 3 ]",23,6.0,3
31,140,"[ 2, 2, 5, 7 ]",4.0,2.0,70.0,"[ 2, 2, 5 ]",7,20.0,5
32,141,"[ 3, 47 ]",25.0,22.0,6.409090909090909,[ 3 ],47,3.0,2
33,142,"[ 2, 71 ]",36.5,34.5,4.115942028985507,[ 2 ],71,2.0,1
34,143,"[ 11, 13 ]",12.0,1.0,143.0,[ 11 ],13,11.0,5
35,144,"[ 2, 2, 2, 2, 3, 3 ]",2.3333333333333335,0.4444444444444445,324.0,"[ 2, 2, 2, 2, 3 ]",3,48.0,5
36,145,"[ 5, 29 ]",17.0,12.0,12.083333333333334,[ 5 ],29,5.0,3
37,146,"[ 2, 73 ]",37.5,35.5,4.112676056338028,[ 2 ],73,2.0,1
38,147,"[ 3, 7, 7 ]",5.666666666666667,1.7777777777777777,82.6875,"[ 3, 7 ]",7,21.0,5
39,148,"[ 2, 2, 37 ]",13.666666666666666,15.555555555555557,9.514285714285712,"[ 2, 2 ]",37,4.0,3
40,150,"[ 2, 3, 5, 5 ]",3.75,1.25,120.0,"[ 2, 3, 5 ]",5,30.0,5
41,152,"[ 2, 2, 2, 19 ]",6.25,6.375,23.84313725490196,"[ 2, 2, 2 ]",19,8.0,4
42,153,"[ 3, 3, 17 ]",7.666666666666667,6.222222222222221,24.58928571428572,"[ 3, 3 ]",17,9.0,4
