,number,prime_factors,ideal,deviation,anti_slope,family_factors,identity_factor,factor_family,color_bucket
521,12981126,"[ 2, 3, 31, 101, 691 ]",26.464425651011602,158.30711486979766,81999.63729158064,"[ 2, 3, 31, 101 ]",691,18786.0,9
522,13168986,"[ 2, 3, 31, 101, 701 ]",26.54058353114381,160.29188329377124,82156.28720179702,"[ 2, 3, 31, 101 ]",701,18786.0,9
523,13319274,"[ 2, 3, 31, 101, 709 ]",26.600886529721958,161.8798226940556,82278.77803630123,"[ 2, 3, 31, 101 ]",709,18786.0,9
524,13507134,"[ 2, 3, 31, 101, 719 ]",26.675504494835423,163.8648991010329,82428.47659322093,"[ 2, 3, 31, 101 ]",719,18786.0,9
525,13657422,"[ 2, 3, 31, 101, 727 ]",26.73460339501564,165.4530793209969,82545.58969859438,"[ 2, 3, 31, 101 ]",727,18786.0,9
526,13770138,"[ 2, 3, 31, 101, 733 ]",26.778587076945247,166.64428258461095,82631.9258388504,"[ 2, 3, 31, 101 ]",733,18786.0,9
527,13882854,"[ 2, 3, 31, 101, 739 ]",26.82228367128813,167.8355432657424,82717.00814897465,"[ 2, 3, 31, 101 ]",739,18786.0,9
528,13957998,"[ 2, 3, 31, 101, 743 ]",26.851257310210702,168.62974853795785,82773.04639909437,"[ 2, 3, 31, 101 ]",743,18786.0,9
529,14108286,"[ 2, 3, 31, 101, 751 ]",26.908832231575772,170.21823355368485,82883.51785503878,"[ 2, 3, 31, 101 ]",751,18786.0,9
530,14221002,"[ 2, 3, 31, 101, 757 ]",26.951692282528857,171.40966154349422,82964.99667488989,"[ 2, 3, 31, 101 ]",757,18786.0,9
531,14296146,"[ 2, 3, 31, 101, 761 ]",26.980114905464344,172.20397701890712,83018.6749893143,"[ 2, 3, 31, 101 ]",761,18786.0,9
532,14446434,"[ 2, 3, 31, 101, 769 ]",27.03660347117847,173.7926793057643,83124.52548466375,"[ 2, 3, 31, 101 ]",769,18786.0,9
533,14521578,"[ 2, 3, 31, 101, 773 ]",27.06467163802934,174.58706567239412,83176.71153972643,"[ 2, 3, 31, 101 ]",773,18786.0,9
534,14784582,"[ 2, 3, 31, 101, 787 ]",27.162004077355935,177.3675991845288,83355.59633199123,"[ 2, 3, 31, 101 ]",787,18786.0,9
535,14972442,"[ 2, 3, 31, 101, 797 ]",27.230682587955606,179.35386348240888,83479.89672086715,"[ 2, 3, 31, 101 ]",797,18786.0,9
536,15197874,"[ 2, 3, 31, 101, 809 ]",27.31219269969025,181.73756146006195,83625.38749778392,"[ 2, 3, 31, 101 ]",809,18786.0,9
537,15235446,"[ 2, 3, 31, 101, 811 ]",27.325683539909555,182.1348632920181,83649.25706493051,"[ 2, 3, 31, 101 ]",811,18786.0,9
538,15423306,"[ 2, 3, 31, 101, 821 ]",27.392741238700665,184.12145175225987,83767.02363151281,"[ 2, 3, 31, 101 ]",821,18786.0,9
539,15460878,"[ 2, 3, 31, 101, 823 ]",27.406074290155964,184.5187851419688,83790.26551743443,"[ 2, 3, 31, 101 ]",823,18786.0,9
540,15536022,"[ 2, 3, 31, 101, 827 ]",27.432662818757336,185.31346743624854,83836.44327061494,"[ 2, 3, 31, 101 ]",827,18786.0,9
541,15573594,"[ 2, 3, 31, 101, 829 ]",27.445918520920277,185.71081629581596,83859.38046383392,"[ 2, 3, 31, 101 ]",829,18786.0,9
542,15761454,"[ 2, 3, 31, 101, 839 ]",27.511815842836775,187.69763683143265,83972.57560655936,"[ 2, 3, 31, 101 ]",839,18786.0,9
543,16024458,"[ 2, 3, 31, 101, 853 ]",27.603024432554918,190.47939511348903,84126.98911844249,"[ 2, 3, 31, 101 ]",853,18786.0,9
544,16099602,"[ 2, 3, 31, 101, 857 ]",27.628863957747797,191.27422720845044,84170.26295160336,"[ 2, 3, 31, 101 ]",857,18786.0,9
545,16137174,"[ 2, 3, 31, 101, 859 ]",27.64174755577551,191.6716504888449,84191.76210380245,"[ 2, 3, 31, 101 ]",859,18786.0,9
546,16212318,"[ 2, 3, 31, 101, 863 ]",27.667442926731272,192.46651141465375,84234.48776016859,"[ 2, 3, 31, 101 ]",863,18786.0,9
547,16475322,"[ 2, 3, 31, 101, 877 ]",27.756632942495663,195.24867341150087,84381.22376010746,"[ 2, 3, 31, 101 ]",877,18786.0,9
548,16550466,"[ 2, 3, 31, 101, 881 ]",27.781906494917013,196.04361870101658,84422.36533717981,"[ 2, 3, 31, 101 ]",881,18786.0,9
549,16588038,"[ 2, 3, 31, 101, 883 ]",27.79450886185992,196.44109822762803,84442.80830062582,"[ 2, 3, 31, 101 ]",883,18786.0,9
550,16663182,"[ 2, 3, 31, 101, 887 ]",27.819645243778282,197.23607095124436,84483.44118616643,"[ 2, 3, 31, 101 ]",887,18786.0,9
551,17038902,"[ 2, 3, 31, 101, 907 ]",27.943983810072332,201.21120323798553,84681.67639675106,"[ 2, 3, 31, 101 ]",907,18786.0,9
552,17114046,"[ 2, 3, 31, 101, 911 ]",27.968587840111997,202.00628243197758,84720.36509935222,"[ 2, 3, 31, 101 ]",911,18786.0,9
553,17264334,"[ 2, 3, 31, 101, 919 ]",28.017537757472653,203.59649244850547,84796.81448523271,"[ 2, 3, 31, 101 ]",919,18786.0,9
554,17452194,"[ 2, 3, 31, 101, 929 ]",28.07824805124216,205.5843503897516,84890.67366710416,"[ 2, 3, 31, 101 ]",929,18786.0,9
555,17602482,"[ 2, 3, 31, 101, 937 ]",28.126440994119697,207.1747118011761,84964.43338554254,"[ 2, 3, 31, 101 ]",937,18786.0,9
556,17677626,"[ 2, 3, 31, 101, 941 ]",28.150414130146086,207.96991717397077,85000.88012831361,"[ 2, 3, 31, 101 ]",941,18786.0,9
557,17790342,"[ 2, 3, 31, 101, 947 ]",28.186221429487908,209.16275571410242,85055.01822856562,"[ 2, 3, 31, 101 ]",947,18786.0,9
558,17903058,"[ 2, 3, 31, 101, 953 ]",28.22184769209534,210.35563046158094,85108.52769053781,"[ 2, 3, 31, 101 ]",953,18786.0,9
559,18166062,"[ 2, 3, 31, 101, 967 ]",28.304283035304923,213.13914339293902,85230.9984492591,"[ 2, 3, 31, 101 ]",967,18786.0,9
560,18241206,"[ 2, 3, 31, 101, 971 ]",28.327660546464113,213.93446789070717,85265.39075189555,"[ 2, 3, 31, 101 ]",971,18786.0,9
561,18353922,"[ 2, 3, 31, 101, 977 ]",28.36258277362336,215.12748344527535,85316.49097577491,"[ 2, 3, 31, 101 ]",977,18786.0,9
562,18466638,"[ 2, 3, 31, 101, 983 ]",28.3973338471931,216.32053323056138,85367.01405186378,"[ 2, 3, 31, 101 ]",983,18786.0,9
563,18616926,"[ 2, 3, 31, 101, 991 ]",28.44340561068012,217.91131887786395,85433.49696504067,"[ 2, 3, 31, 101 ]",991,18786.0,9
564,18729642,"[ 2, 3, 31, 101, 997 ]",28.477764566069848,219.10444708678605,85482.71041062573,"[ 2, 3, 31, 101 ]",997,18786.0,9
565,18955074,"[ 2, 3, 31, 101, 1009 ]",28.54598918032692,221.49080216393457,85579.50856113005,"[ 2, 3, 31, 101 ]",1009,18786.0,9
566,19030218,"[ 2, 3, 31, 101, 1013 ]",28.56858646902088,222.28628270619583,85611.30164362394,"[ 2, 3, 31, 101 ]",1013,18786.0,9
567,19142934,"[ 2, 3, 31, 101, 1019 ]",28.602348926641174,223.47953021467174,85658.5566544351,"[ 2, 3, 31, 101 ]",1019,18786.0,9
568,19180506,"[ 2, 3, 31, 101, 1021 ]",28.613567737280796,223.87728645254384,85674.19367960657,"[ 2, 3, 31, 101 ]",1021,18786.0,9
569,19368366,"[ 2, 3, 31, 101, 1031 ]",28.66939951368351,225.86612009726332,85751.53277374899,"[ 2, 3, 31, 101 ]",1031,18786.0,9
570,19405938,"[ 2, 3, 31, 101, 1033 ]",28.680513841316554,226.2638972317367,85766.83349586556,"[ 2, 3, 31, 101 ]",1033,18786.0,9
571,19518654,"[ 2, 3, 31, 101, 1039 ]",28.713753853886047,227.4572492292228,85812.40679794663,"[ 2, 3, 31, 101 ]",1039,18786.0,9
572,19706514,"[ 2, 3, 31, 101, 1049 ]",28.768814189100432,229.44623716217993,85887.28341651037,"[ 2, 3, 31, 101 ]",1049,18786.0,9
573,19744086,"[ 2, 3, 31, 101, 1051 ]",28.779775828475866,229.8440448343048,85902.09946154387,"[ 2, 3, 31, 101 ]",1051,18786.0,9
574,19931946,"[ 2, 3, 31, 101, 1061 ]",28.834335036994098,231.83313299260118,85975.39852354114,"[ 2, 3, 31, 101 ]",1061,18786.0,9
575,19969518,"[ 2, 3, 31, 101, 1063 ]",28.845197475577493,232.23096050488448,85989.90400153809,"[ 2, 3, 31, 101 ]",1063,18786.0,9
576,20082234,"[ 2, 3, 31, 101, 1069 ]",28.877686986322207,233.42446260273556,86033.11656404195,"[ 2, 3, 31, 101 ]",1069,18786.0,9
577,20420382,"[ 2, 3, 31, 101, 1087 ]",28.974287986060954,237.0051424027878,86160.07987411416,"[ 2, 3, 31, 101 ]",1087,18786.0,9
578,20495526,"[ 2, 3, 31, 101, 1091 ]",28.99558089017297,237.8008838219654,86187.76209151688,"[ 2, 3, 31, 101 ]",1091,18786.0,9
579,20533098,"[ 2, 3, 31, 101, 1093 ]",29.006203930536635,238.19875921389266,86201.53214804165,"[ 2, 3, 31, 101 ]",1093,18786.0,9
580,20608242,"[ 2, 3, 31, 101, 1097 ]",29.027403444446392,238.9945193111107,86228.93135542265,"[ 2, 3, 31, 101 ]",1097,18786.0,9
581,20720958,"[ 2, 3, 31, 101, 1103 ]",29.059087060134008,240.1881825879732,86269.68145033772,"[ 2, 3, 31, 101 ]",1103,18786.0,9
582,20833674,"[ 2, 3, 31, 101, 1109 ]",29.090633094707474,241.38187338105848,86310.01867779373,"[ 2, 3, 31, 101 ]",1109,18786.0,9
583,20983962,"[ 2, 3, 31, 101, 1117 ]",29.13248276695006,242.97350344660998,86363.17006727004,"[ 2, 3, 31, 101 ]",1117,18786.0,9
584,21096678,"[ 2, 3, 31, 101, 1123 ]",29.16371294349701,244.16725741130057,86402.5677466761,"[ 2, 3, 31, 101 ]",1123,18786.0,9
585,21209394,"[ 2, 3, 31, 101, 1129 ]",29.19480991796822,245.36103801640633,86441.57267781779,"[ 2, 3, 31, 101 ]",1129,18786.0,9
586,21622686,"[ 2, 3, 31, 101, 1151 ]",29.307712887271062,249.7384574225458,86581.32280930776,"[ 2, 3, 31, 101 ]",1151,18786.0,9
587,21660258,"[ 2, 3, 31, 101, 1153 ]",29.317890945946306,250.13642181081073,86593.77887952124,"[ 2, 3, 31, 101 ]",1153,18786.0,9
588,21848118,"[ 2, 3, 31, 101, 1163 ]",29.36857040317255,252.1262859193655,86655.45490559211,"[ 2, 3, 31, 101 ]",1163,18786.0,9
589,21998406,"[ 2, 3, 31, 101, 1171 ]",29.408863568516875,253.71822728629664,86704.08206493147,"[ 2, 3, 31, 101 ]",1171,18786.0,9
590,22186266,"[ 2, 3, 31, 101, 1181 ]",29.45892149844776,255.70821570031043,86763.99363719413,"[ 2, 3, 31, 101 ]",1181,18786.0,9
591,22298982,"[ 2, 3, 31, 101, 1187 ]",29.488793712796593,256.90224125744066,86799.48407944904,"[ 2, 3, 31, 101 ]",1187,18786.0,9
592,22411698,"[ 2, 3, 31, 101, 1193 ]",29.51854537284325,258.0962909254314,86834.63803234251,"[ 2, 3, 31, 101 ]",1193,18786.0,9
593,22561986,"[ 2, 3, 31, 101, 1201 ]",29.558028604310433,259.6883942791379,86880.99467297803,"[ 2, 3, 31, 101 ]",1201,18786.0,9
594,22787418,"[ 2, 3, 31, 101, 1213 ]",29.61686077396323,262.0766278452073,86949.44752364235,"[ 2, 3, 31, 101 ]",1213,18786.0,9
595,22862562,"[ 2, 3, 31, 101, 1217 ]",29.63636802669667,262.8727263946607,86971.98189239144,"[ 2, 3, 31, 101 ]",1217,18786.0,9
596,22975278,"[ 2, 3, 31, 101, 1223 ]",29.665532952463845,264.06689340950726,87005.52236349677,"[ 2, 3, 31, 101 ]",1223,18786.0,9
