,number,prime_factors,ideal,deviation,anti_slope,family_factors,identity_factor,factor_family,color_bucket
0,96,"[ 2, 2, 2, 2, 2, 3 ]",2.1398263878673256,0.25988425857821706,369.39520894878285,"[ 2, 2, 2, 2, 2 ]",3,32.0,7
1,160,"[ 2, 2, 2, 2, 2, 5 ]",2.329986101501426,0.7199907343342838,222.22508203239425,"[ 2, 2, 2, 2, 2 ]",5,32.0,5
2,224,"[ 2, 2, 2, 2, 2, 7 ]",2.4643818583473065,1.1429212388982044,195.98900814542552,"[ 2, 2, 2, 2, 2 ]",7,32.0,5
3,352,"[ 2, 2, 2, 2, 2, 11 ]",2.657197145612671,1.9381314304084472,181.61823005255044,"[ 2, 2, 2, 2, 2 ]",11,32.0,4
4,416,"[ 2, 2, 2, 2, 2, 13 ]",2.7322193018926018,2.321479534595068,179.19606604352956,"[ 2, 2, 2, 2, 2 ]",13,32.0,3
5,544,"[ 2, 2, 2, 2, 2, 17 ]",2.8571507142316968,3.071433809487798,177.1159770135887,"[ 2, 2, 2, 2, 2 ]",17,32.0,1
6,608,"[ 2, 2, 2, 2, 2, 19 ]",2.910609415313189,3.4404062768754593,176.7233143616338,"[ 2, 2, 2, 2, 2 ]",19,32.0,1
7,736,"[ 2, 2, 2, 2, 2, 23 ]",3.0047820005697585,4.169854667046505,176.5049525146416,"[ 2, 2, 2, 2, 2 ]",23,32.0,1
8,928,"[ 2, 2, 2, 2, 2, 29 ]",3.1231391134796773,5.2487594089864515,176.80368401172328,"[ 2, 2, 2, 2, 2 ]",29,32.0,1
9,992,"[ 2, 2, 2, 2, 2, 31 ]",3.158047166284457,5.605364777522971,176.97331741510104,"[ 2, 2, 2, 2, 2 ]",31,32.0,1
10,1184,"[ 2, 2, 2, 2, 2, 37 ]",3.2525597527775587,6.6683731685183725,177.55455042463822,"[ 2, 2, 2, 2, 2 ]",37,32.0,2
11,1312,"[ 2, 2, 2, 2, 2, 41 ]",3.308686650258204,7.372457766838803,177.95964948098515,"[ 2, 2, 2, 2, 2 ]",41,32.0,2
12,1376,"[ 2, 2, 2, 2, 2, 43 ]",3.3350555517176126,7.723370367811742,178.16056131849874,"[ 2, 2, 2, 2, 2 ]",43,32.0,2
13,1504,"[ 2, 2, 2, 2, 2, 47 ]",3.3848646401244578,8.423243093416305,178.5535551236248,"[ 2, 2, 2, 2, 2 ]",47,32.0,3
14,1696,"[ 2, 2, 2, 2, 2, 53 ]",3.453326499983368,9.468884333322245,179.112970472303,"[ 2, 2, 2, 2, 2 ]",53,32.0,3
15,1888,"[ 2, 2, 2, 2, 2, 59 ]",3.5156070900672742,10.510404726711515,179.63152220026026,"[ 2, 2, 2, 2, 2 ]",59,32.0,3
16,1952,"[ 2, 2, 2, 2, 2, 61 ]",3.5351944131903816,10.856796275460255,179.79521310647863,"[ 2, 2, 2, 2, 2 ]",61,32.0,3
17,2144,"[ 2, 2, 2, 2, 2, 67 ]",3.5909067733002797,11.893937848866853,180.2598960279804,"[ 2, 2, 2, 2, 2 ]",67,32.0,3
18,2272,"[ 2, 2, 2, 2, 2, 71 ]",3.6257794890043793,12.583852992669586,180.54883518772016,"[ 2, 2, 2, 2, 2 ]",71,32.0,4
19,2336,"[ 2, 2, 2, 2, 2, 73 ]",3.6426055061912748,12.928403670794182,180.68742742594927,"[ 2, 2, 2, 2, 2 ]",73,32.0,4
20,2528,"[ 2, 2, 2, 2, 2, 79 ]",3.690876483354348,13.960584322236231,181.08124571644436,"[ 2, 2, 2, 2, 2 ]",79,32.0,4
21,2656,"[ 2, 2, 2, 2, 2, 83 ]",3.7213856485527104,14.647590432368474,181.32675215513464,"[ 2, 2, 2, 2, 2 ]",83,32.0,4
