,number,prime_factors,mean,deviation,one_over_slope,primes_before_largest,largest_prime_factor,div_family,color_bucket
0,4,"[ 2, 2 ]",2.0,0.0,0,[ 2 ],2,2.0,0
1,6,"[ 2, 3 ]",2.5,0.5,12,[ 2 ],3,2.0,0
2,8,"[ 2, 2, 2 ]",2.0,0.0,0,"[ 2, 2 ]",2,4.0,0
3,9,"[ 3, 3 ]",3.0,0.0,0,[ 3 ],3,3.0,0
4,10,"[ 2, 5 ]",3.5,1.5,6.666666666666666666666666667,[ 2 ],5,2.0,1
5,12,"[ 2, 2, 3 ]",2.3333333333333335,0.4444444444444445,26.99999999999999812649864595,"[ 2, 2 ]",3,4.0,0
6,14,"[ 2, 7 ]",4.5,2.5,5.6,[ 2 ],7,2.0,1
7,15,"[ 3, 5 ]",4.0,1.0,15,[ 3 ],5,3.0,1
8,16,"[ 2, 2, 2, 2 ]",2.0,0.0,0,"[ 2, 2, 2 ]",2,8.0,0
9,18,"[ 2, 3, 3 ]",2.6666666666666665,0.4444444444444445,40.49999999999999718974796892,"[ 2, 3 ]",3,6.0,0
10,20,"[ 2, 2, 5 ]",3.0,1.3333333333333333,15.00000000000000083266726847,"[ 2, 2 ]",5,4.0,1
11,21,"[ 3, 7 ]",5.0,2.0,10.5,[ 3 ],7,3.0,1
12,22,"[ 2, 11 ]",6.5,4.5,4.888888888888888888888888889,[ 2 ],11,2.0,2
13,24,"[ 2, 2, 2, 3 ]",2.25,0.375,64,"[ 2, 2, 2 ]",3,8.0,0
14,25,"[ 5, 5 ]",5.0,0.0,0,[ 5 ],5,5.0,0
15,26,"[ 2, 13 ]",7.5,5.5,4.727272727272727272727272727,[ 2 ],13,2.0,2
16,27,"[ 3, 3, 3 ]",3.0,0.0,0,"[ 3, 3 ]",3,9.0,0
17,28,"[ 2, 2, 7 ]",3.6666666666666665,2.222222222222222,12.60000000000000195843341544,"[ 2, 2 ]",7,4.0,1
18,30,"[ 2, 3, 5 ]",3.3333333333333335,1.1111111111111112,26.99999999999999880095913340,"[ 2, 3 ]",5,6.0,1
19,32,"[ 2, 2, 2, 2, 2 ]",2.0,0.0,0,"[ 2, 2, 2, 2 ]",2,16.0,0
20,33,"[ 3, 11 ]",7.0,4.0,8.25,[ 3 ],11,3.0,2
21,34,"[ 2, 17 ]",9.5,7.5,4.533333333333333333333333333,[ 2 ],17,2.0,3
22,35,"[ 5, 7 ]",6.0,1.0,35,[ 5 ],7,5.0,1
23,36,"[ 2, 2, 3, 3 ]",2.5,0.5,72,"[ 2, 2, 3 ]",3,12.0,0
24,38,"[ 2, 19 ]",10.5,8.5,4.470588235294117647058823529,[ 2 ],19,2.0,3
25,39,"[ 3, 13 ]",8.0,5.0,7.8,[ 3 ],13,3.0,2
26,40,"[ 2, 2, 2, 5 ]",2.75,1.125,35.55555555555555555555555556,"[ 2, 2, 2 ]",5,8.0,1
27,42,"[ 2, 3, 7 ]",4.0,2.0,21,"[ 2, 3 ]",7,6.0,1
28,44,"[ 2, 2, 11 ]",5.0,4.0,11,"[ 2, 2 ]",11,4.0,2
29,45,"[ 3, 3, 5 ]",3.6666666666666665,0.8888888888888888,50.62500000000000281025203108,"[ 3, 3 ]",5,9.0,1
30,46,"[ 2, 23 ]",12.5,10.5,4.380952380952380952380952381,[ 2 ],23,2.0,3
31,48,"[ 2, 2, 2, 2, 3 ]",2.2,0.3200000000000001,149.9999999999999448357934639,"[ 2, 2, 2, 2 ]",3,16.0,0
32,49,"[ 7, 7 ]",7.0,0.0,0,[ 7 ],7,7.0,0
