,number,prime_factors,mean,deviation,one_over_slope,primes_before_largest,largest_prime_factor,div_family,color_bucket
503,7214,"[ 2, 3607 ]",1804.5,1802.5,4.002219140083217753120665742,[ 2 ],3607,2.0,8
504,7226,"[ 2, 3613 ]",1807.5,1805.5,4.002215452783162558847964553,[ 2 ],3613,2.0,8
505,7234,"[ 2, 3617 ]",1809.5,1807.5,4.002213001383125864453665284,[ 2 ],3617,2.0,8
506,7246,"[ 2, 3623 ]",1812.5,1810.5,4.002209334438000552333609500,[ 2 ],3623,2.0,8
507,7262,"[ 2, 3631 ]",1816.5,1814.5,4.002204464039680352714246349,[ 2 ],3631,2.0,8
508,7274,"[ 2, 3637 ]",1819.5,1817.5,4.002200825309491059147180193,[ 2 ],3637,2.0,8
509,7286,"[ 2, 3643 ]",1822.5,1820.5,4.002197198571820928316396594,[ 2 ],3643,2.0,8
510,7318,"[ 2, 3659 ]",1830.5,1828.5,4.002187585452556740497675690,[ 2 ],3659,2.0,8
511,7342,"[ 2, 3671 ]",1836.5,1834.5,4.002180430635050422458435541,[ 2 ],3671,2.0,8
512,7346,"[ 2, 3673 ]",1837.5,1835.5,4.002179242713157177880686461,[ 2 ],3673,2.0,8
513,7354,"[ 2, 3677 ]",1839.5,1837.5,4.002176870748299319727891156,[ 2 ],3677,2.0,8
514,7382,"[ 2, 3691 ]",1846.5,1844.5,4.002168609379235565193819463,[ 2 ],3691,2.0,8
515,7394,"[ 2, 3697 ]",1849.5,1847.5,4.002165087956698240866035183,[ 2 ],3697,2.0,8
516,7402,"[ 2, 3701 ]",1851.5,1849.5,4.002162746688294133549608002,[ 2 ],3701,2.0,8
517,7418,"[ 2, 3709 ]",1855.5,1853.5,4.002158079309414620987321284,[ 2 ],3709,2.0,8
518,7438,"[ 2, 3719 ]",1860.5,1858.5,4.002152273338714016680118375,[ 2 ],3719,2.0,8
519,7454,"[ 2, 3727 ]",1864.5,1862.5,4.002147651006711409395973154,[ 2 ],3727,2.0,8
520,7466,"[ 2, 3733 ]",1867.5,1865.5,4.002144197266148485660680783,[ 2 ],3733,2.0,8
521,7478,"[ 2, 3739 ]",1870.5,1868.5,4.002140754616002140754616002,[ 2 ],3739,2.0,8
522,7522,"[ 2, 3761 ]",1881.5,1879.5,4.002128225591912742750731578,[ 2 ],3761,2.0,8
523,7534,"[ 2, 3767 ]",1884.5,1882.5,4.002124833997343957503320053,[ 2 ],3767,2.0,8
524,7538,"[ 2, 3769 ]",1885.5,1883.5,4.002123705866737456862224582,[ 2 ],3769,2.0,8
525,7558,"[ 2, 3779 ]",1890.5,1888.5,4.002118083134763039449298385,[ 2 ],3779,2.0,8
526,7586,"[ 2, 3793 ]",1897.5,1895.5,4.002110261144816671063044052,[ 2 ],3793,2.0,8
527,7594,"[ 2, 3797 ]",1899.5,1897.5,4.002108036890645586297760211,[ 2 ],3797,2.0,8
528,7606,"[ 2, 3803 ]",1902.5,1900.5,4.002104709287029729018679295,[ 2 ],3803,2.0,8
529,7642,"[ 2, 3821 ]",1911.5,1909.5,4.002094789211835559046870909,[ 2 ],3821,2.0,8
530,7646,"[ 2, 3823 ]",1912.5,1910.5,4.002093692750588851086103114,[ 2 ],3823,2.0,8
531,7666,"[ 2, 3833 ]",1917.5,1915.5,4.002088227616810232315322370,[ 2 ],3833,2.0,8
532,7694,"[ 2, 3847 ]",1924.5,1922.5,4.002080624187256176853055917,[ 2 ],3847,2.0,8
533,7702,"[ 2, 3851 ]",1926.5,1924.5,4.002078461938165757339568719,[ 2 ],3851,2.0,8
