,number,prime_factors,mean,deviation,one_over_slope,primes_before_largest,largest_prime_factor,div_family,color_bucket
62,614,"[ 2, 307 ]",154.5,152.5,4.026229508196721311475409836,[ 2 ],307,2.0,6
63,622,"[ 2, 311 ]",156.5,154.5,4.025889967637540453074433657,[ 2 ],311,2.0,6
64,626,"[ 2, 313 ]",157.5,155.5,4.025723472668810289389067524,[ 2 ],313,2.0,6
65,634,"[ 2, 317 ]",159.5,157.5,4.025396825396825396825396825,[ 2 ],317,2.0,6
66,662,"[ 2, 331 ]",166.5,164.5,4.024316109422492401215805471,[ 2 ],331,2.0,6
67,674,"[ 2, 337 ]",169.5,167.5,4.023880597014925373134328358,[ 2 ],337,2.0,6
68,694,"[ 2, 347 ]",174.5,172.5,4.023188405797101449275362319,[ 2 ],347,2.0,6
69,698,"[ 2, 349 ]",175.5,173.5,4.023054755043227665706051873,[ 2 ],349,2.0,6
70,706,"[ 2, 353 ]",177.5,175.5,4.022792022792022792022792023,[ 2 ],353,2.0,6
71,718,"[ 2, 359 ]",180.5,178.5,4.022408963585434173669467787,[ 2 ],359,2.0,6
72,734,"[ 2, 367 ]",184.5,182.5,4.021917808219178082191780822,[ 2 ],367,2.0,6
73,746,"[ 2, 373 ]",187.5,185.5,4.021563342318059299191374663,[ 2 ],373,2.0,6
74,758,"[ 2, 379 ]",190.5,188.5,4.021220159151193633952254642,[ 2 ],379,2.0,6
75,766,"[ 2, 383 ]",192.5,190.5,4.020997375328083989501312336,[ 2 ],383,2.0,6
76,778,"[ 2, 389 ]",195.5,193.5,4.020671834625322997416020672,[ 2 ],389,2.0,6
77,794,"[ 2, 397 ]",199.5,197.5,4.020253164556962025316455696,[ 2 ],397,2.0,6
78,802,"[ 2, 401 ]",201.5,199.5,4.020050125313283208020050125,[ 2 ],401,2.0,6
79,818,"[ 2, 409 ]",205.5,203.5,4.019656019656019656019656020,[ 2 ],409,2.0,6
80,838,"[ 2, 419 ]",210.5,208.5,4.019184652278177458033573141,[ 2 ],419,2.0,6
81,841,"[ 29, 29 ]",29.0,0.0,0,[ 29 ],29,29.0,0
82,842,"[ 2, 421 ]",211.5,209.5,4.019093078758949880668257757,[ 2 ],421,2.0,6
83,862,"[ 2, 431 ]",216.5,214.5,4.018648018648018648018648019,[ 2 ],431,2.0,6
84,866,"[ 2, 433 ]",217.5,215.5,4.018561484918793503480278422,[ 2 ],433,2.0,6
85,878,"[ 2, 439 ]",220.5,218.5,4.018306636155606407322654462,[ 2 ],439,2.0,6
86,886,"[ 2, 443 ]",222.5,220.5,4.018140589569160997732426304,[ 2 ],443,2.0,6
87,898,"[ 2, 449 ]",225.5,223.5,4.017897091722595078299776286,[ 2 ],449,2.0,6
88,899,"[ 29, 31 ]",30.0,1.0,899,[ 29 ],31,29.0,1
89,914,"[ 2, 457 ]",229.5,227.5,4.017582417582417582417582418,[ 2 ],457,2.0,6
90,922,"[ 2, 461 ]",231.5,229.5,4.017429193899782135076252723,[ 2 ],461,2.0,6
91,926,"[ 2, 463 ]",232.5,230.5,4.017353579175704989154013015,[ 2 ],463,2.0,6
92,934,"[ 2, 467 ]",234.5,232.5,4.017204301075268817204301075,[ 2 ],467,2.0,6
93,958,"[ 2, 479 ]",240.5,238.5,4.016771488469601677148846960,[ 2 ],479,2.0,6
94,974,"[ 2, 487 ]",244.5,242.5,4.016494845360824742268041237,[ 2 ],487,2.0,6
95,982,"[ 2, 491 ]",246.5,244.5,4.016359918200408997955010225,[ 2 ],491,2.0,7
96,998,"[ 2, 499 ]",250.5,248.5,4.016096579476861167002012072,[ 2 ],499,2.0,7
97,1006,"[ 2, 503 ]",252.5,250.5,4.015968063872255489021956088,[ 2 ],503,2.0,7
98,1018,"[ 2, 509 ]",255.5,253.5,4.015779092702169625246548323,[ 2 ],509,2.0,7
99,1042,"[ 2, 521 ]",261.5,259.5,4.015414258188824662813102119,[ 2 ],521,2.0,7
100,1046,"[ 2, 523 ]",262.5,260.5,4.015355086372360844529750480,[ 2 ],523,2.0,7
101,1073,"[ 29, 37 ]",33.0,4.0,268.25,[ 29 ],37,29.0,2
102,1082,"[ 2, 541 ]",271.5,269.5,4.014842300556586270871985158,[ 2 ],541,2.0,7
103,1094,"[ 2, 547 ]",274.5,272.5,4.014678899082568807339449541,[ 2 ],547,2.0,7
104,1114,"[ 2, 557 ]",279.5,277.5,4.014414414414414414414414414,[ 2 ],557,2.0,7
105,1126,"[ 2, 563 ]",282.5,280.5,4.014260249554367201426024955,[ 2 ],563,2.0,7
106,1138,"[ 2, 569 ]",285.5,283.5,4.014109347442680776014109347,[ 2 ],569,2.0,7
107,1142,"[ 2, 571 ]",286.5,284.5,4.014059753954305799648506151,[ 2 ],571,2.0,7
108,1154,"[ 2, 577 ]",289.5,287.5,4.013913043478260869565217391,[ 2 ],577,2.0,7
109,1174,"[ 2, 587 ]",294.5,292.5,4.013675213675213675213675214,[ 2 ],587,2.0,7
110,1186,"[ 2, 593 ]",297.5,295.5,4.013536379018612521150592217,[ 2 ],593,2.0,7
111,1189,"[ 29, 41 ]",35.0,6.0,198.1666666666666666666666667,[ 29 ],41,29.0,2
112,1198,"[ 2, 599 ]",300.5,298.5,4.013400335008375209380234506,[ 2 ],599,2.0,7
113,1202,"[ 2, 601 ]",301.5,299.5,4.013355592654424040066777963,[ 2 ],601,2.0,7
114,1214,"[ 2, 607 ]",304.5,302.5,4.013223140495867768595041322,[ 2 ],607,2.0,7
115,1226,"[ 2, 613 ]",307.5,305.5,4.013093289689034369885433715,[ 2 ],613,2.0,7
116,1234,"[ 2, 617 ]",309.5,307.5,4.013008130081300813008130081,[ 2 ],617,2.0,7
117,1238,"[ 2, 619 ]",310.5,308.5,4.012965964343598055105348460,[ 2 ],619,2.0,7
118,1247,"[ 29, 43 ]",36.0,7.0,178.1428571428571428571428571,[ 29 ],43,29.0,2
119,1262,"[ 2, 631 ]",316.5,314.5,4.012718600953895071542130366,[ 2 ],631,2.0,7
120,1282,"[ 2, 641 ]",321.5,319.5,4.012519561815336463223787167,[ 2 ],641,2.0,7
121,1286,"[ 2, 643 ]",322.5,320.5,4.012480499219968798751950078,[ 2 ],643,2.0,7
122,1294,"[ 2, 647 ]",324.5,322.5,4.012403100775193798449612403,[ 2 ],647,2.0,7
123,1306,"[ 2, 653 ]",327.5,325.5,4.012288786482334869431643625,[ 2 ],653,2.0,7
124,1318,"[ 2, 659 ]",330.5,328.5,4.012176560121765601217656012,[ 2 ],659,2.0,7
125,1322,"[ 2, 661 ]",331.5,329.5,4.012139605462822458270106222,[ 2 ],661,2.0,7
126,1346,"[ 2, 673 ]",337.5,335.5,4.011922503725782414307004471,[ 2 ],673,2.0,7
127,1354,"[ 2, 677 ]",339.5,337.5,4.011851851851851851851851852,[ 2 ],677,2.0,7
128,1363,"[ 29, 47 ]",38.0,9.0,151.4444444444444444444444444,[ 29 ],47,29.0,3
129,1366,"[ 2, 683 ]",342.5,340.5,4.011747430249632892804698972,[ 2 ],683,2.0,7
130,1382,"[ 2, 691 ]",346.5,344.5,4.011611030478955007256894049,[ 2 ],691,2.0,7
131,1402,"[ 2, 701 ]",351.5,349.5,4.011444921316165951359084406,[ 2 ],701,2.0,7
132,1418,"[ 2, 709 ]",355.5,353.5,4.011315417256011315417256011,[ 2 ],709,2.0,7
133,1438,"[ 2, 719 ]",360.5,358.5,4.011157601115760111576011158,[ 2 ],719,2.0,7
134,1454,"[ 2, 727 ]",364.5,362.5,4.011034482758620689655172414,[ 2 ],727,2.0,7
135,1466,"[ 2, 733 ]",367.5,365.5,4.010943912448700410396716826,[ 2 ],733,2.0,7
136,1478,"[ 2, 739 ]",370.5,368.5,4.010854816824966078697421981,[ 2 ],739,2.0,7
137,1486,"[ 2, 743 ]",372.5,370.5,4.010796221322537112010796221,[ 2 ],743,2.0,7
138,1502,"[ 2, 751 ]",376.5,374.5,4.010680907877169559412550067,[ 2 ],751,2.0,7
139,1514,"[ 2, 757 ]",379.5,377.5,4.010596026490066225165562914,[ 2 ],757,2.0,7
