,number,prime_factors,mean,deviation,one_over_slope,primes_before_largest,largest_prime_factor,div_family,color_bucket
0,4,"[ 2, 2 ]",2.0,0.0,0,[ 2 ],2,2.0,0
1,6,"[ 2, 3 ]",2.5,0.5,12,[ 2 ],3,2.0,0
2,10,"[ 2, 5 ]",3.5,1.5,6.666666666666666666666666667,[ 2 ],5,2.0,1
3,14,"[ 2, 7 ]",4.5,2.5,5.6,[ 2 ],7,2.0,1
4,22,"[ 2, 11 ]",6.5,4.5,4.888888888888888888888888889,[ 2 ],11,2.0,1
5,26,"[ 2, 13 ]",7.5,5.5,4.727272727272727272727272727,[ 2 ],13,2.0,2
6,34,"[ 2, 17 ]",9.5,7.5,4.533333333333333333333333333,[ 2 ],17,2.0,2
7,38,"[ 2, 19 ]",10.5,8.5,4.470588235294117647058823529,[ 2 ],19,2.0,2
8,46,"[ 2, 23 ]",12.5,10.5,4.380952380952380952380952381,[ 2 ],23,2.0,2
9,58,"[ 2, 29 ]",15.5,13.5,4.296296296296296296296296296,[ 2 ],29,2.0,2
10,62,"[ 2, 31 ]",16.5,14.5,4.275862068965517241379310345,[ 2 ],31,2.0,2
11,74,"[ 2, 37 ]",19.5,17.5,4.228571428571428571428571429,[ 2 ],37,2.0,3
12,82,"[ 2, 41 ]",21.5,19.5,4.205128205128205128205128205,[ 2 ],41,2.0,3
13,86,"[ 2, 43 ]",22.5,20.5,4.195121951219512195121951220,[ 2 ],43,2.0,3
14,94,"[ 2, 47 ]",24.5,22.5,4.177777777777777777777777778,[ 2 ],47,2.0,3
