,number,prime_factors,ideal,deviation,one_over_slope,primes_before_largest,largest_prime_factor,div_family,color_bucket
55,77,"[ 7, 11 ]",8.774964387392123,2.0,38.5,[ 7 ],11,7.0,5
56,78,"[ 2, 3, 13 ]",4.272658681697917,4.090886227232639,19.066773228930554,"[ 2, 3 ]",13,6.0,4
57,80,"[ 2, 2, 2, 2, 5 ]",2.4022488679628626,0.8413493207777176,95.08535637260685,"[ 2, 2, 2, 2 ]",5,16.0,5
58,81,"[ 3, 3, 3, 3 ]",3.0,0.0,0.0,"[ 3, 3, 3 ]",3,27.0,0
59,82,"[ 2, 41 ]",9.055385138137417,19.5,4.205128205128205,[ 2 ],41,2.0,1
60,84,"[ 2, 2, 3, 7 ]",3.027400104035091,1.5137000520175454,55.49316054263196,"[ 2, 2, 3 ]",7,12.0,5
61,85,"[ 5, 17 ]",9.219544457292887,6.0,14.166666666666666,[ 5 ],17,5.0,4
62,86,"[ 2, 43 ]",9.273618495495704,20.5,4.195121951219512,[ 2 ],43,2.0,1
63,87,"[ 3, 29 ]",9.327379053088816,13.0,6.6923076923076925,[ 3 ],29,3.0,3
64,88,"[ 2, 2, 2, 11 ]",3.062814313608786,2.7814071568043928,31.63866166976601,"[ 2, 2, 2 ]",11,8.0,5
65,90,"[ 2, 3, 3, 5 ]",3.080070288241023,0.7900351441205116,113.91898280701224,"[ 2, 3, 3 ]",5,18.0,5
66,91,"[ 7, 13 ]",9.539392014169456,3.0,30.333333333333332,[ 7 ],13,7.0,4
67,92,"[ 2, 2, 23 ]",4.514357435474001,7.838119145158001,11.73750976429505,"[ 2, 2 ]",23,4.0,3
68,93,"[ 3, 31 ]",9.643650760992955,14.0,6.642857142857143,[ 3 ],31,3.0,3
69,94,"[ 2, 47 ]",9.695359714832659,22.5,4.177777777777778,[ 2 ],47,2.0,1
70,95,"[ 5, 19 ]",9.746794344808963,7.0,13.571428571428571,[ 5 ],19,5.0,4
71,96,"[ 2, 2, 2, 2, 2, 3 ]",2.1398263878673256,0.25988425857821706,369.39520894878285,"[ 2, 2, 2, 2, 2 ]",3,32.0,5
72,98,"[ 2, 7, 7 ]",4.610436292058446,2.4631879026471846,39.78584008742473,"[ 2, 7 ]",7,14.0,5
73,99,"[ 3, 3, 11 ]",4.626065009182741,3.2086883363942476,30.853728882640844,"[ 3, 3 ]",11,9.0,5
74,100,"[ 2, 2, 5, 5 ]",3.1622776601683795,1.5,66.66666666666667,"[ 2, 2, 5 ]",5,20.0,5
